transcriptid	foldchange.1	foldchange.2	DEstatus.1	DEstatus.2
NM_025728.4	1	1	FALSE	FALSE
NM_176972.4	3	1	TRUE	FALSE
NR_003202.1	2	1	TRUE	FALSE
NR_040605.1	1	1	FALSE	FALSE
NM_175291.4	1	1	FALSE	FALSE
NM_001172157.1	4	1	TRUE	FALSE
NM_153530.2	1	1	FALSE	FALSE
NM_201644.2	1	1	FALSE	FALSE
NM_201641.2	1	1	FALSE	FALSE
NM_027921.1	1	1	FALSE	FALSE
NM_133816.2	1	1	FALSE	FALSE
NM_080850.2	1	2	FALSE	TRUE
NM_027971.2	1	1	FALSE	FALSE
NM_001199213.1	1	1	FALSE	FALSE
NM_011800.4	1	1	FALSE	FALSE
NM_172853.3	1	1	FALSE	FALSE
NM_001316744.1	1	1	FALSE	FALSE
NM_001077425.1	1	1	FALSE	FALSE
NM_001316743.1	1	1	FALSE	FALSE
NM_001293300.1	1	1	FALSE	FALSE
NM_029709.2	1	1	FALSE	FALSE
NM_199021.3	1	1	FALSE	FALSE
NM_001293301.1	1	1	FALSE	FALSE
NM_172485.3	1	1	FALSE	FALSE
NM_178690.4	1	1	FALSE	FALSE
NM_008795.2	1	1	FALSE	FALSE
NM_008551.2	1	1	FALSE	FALSE
NM_009791.4	2	1	TRUE	FALSE
NM_145417.3	1	1	FALSE	FALSE
NM_001159624.1	1	1	FALSE	FALSE
NM_001081027.2	1	1	FALSE	FALSE
NM_001081360.1	1	1	FALSE	FALSE
NM_001347109.1	3	1	TRUE	FALSE
NM_001347110.1	1	1	FALSE	FALSE
NM_001145807.1	1	4	FALSE	TRUE
NM_153539.3	1	1	FALSE	FALSE
NM_008869.4	1	1	FALSE	FALSE
NM_145991.2	1	1	FALSE	FALSE
NM_207583.2	2	3	TRUE	TRUE
NM_175460.3	1	1	FALSE	FALSE
NM_197990.3	1	1	FALSE	FALSE
NM_021433.3	1	1	FALSE	FALSE
NM_177644.5	1	1	FALSE	FALSE
NM_001038846.1	1	1	FALSE	FALSE
NM_178593.3	3	1	TRUE	FALSE
NM_013862.5	1	1	FALSE	FALSE
NM_001199003.1	1	1	FALSE	FALSE
NM_011880.3	1	1	FALSE	FALSE
NM_001160215.1	1	1	FALSE	FALSE
NR_027666.1	1	1	FALSE	FALSE
NM_145141.2	1	1	FALSE	FALSE
NM_001347195.1	1	1	FALSE	FALSE
NM_001160212.1	1	1	FALSE	FALSE
NM_011785.3	1	1	FALSE	FALSE
NM_027188.3	1	1	FALSE	FALSE
NM_028408.3	1	1	FALSE	FALSE
NM_001160211.1	1	1	FALSE	FALSE
NM_001081175.1	1	1	FALSE	FALSE
NM_173378.2	2	1	TRUE	FALSE
NR_030555.1	1	1	FALSE	FALSE
NM_009367.4	1	1	FALSE	FALSE
NM_178775.4	1	1	FALSE	FALSE
NM_021408.3	1	1	FALSE	FALSE
NM_008976.2	1	1	FALSE	FALSE
NM_001243792.1	1	1	FALSE	FALSE
NM_001329107.1	1	2	FALSE	TRUE
NR_015566.2	1	2	FALSE	TRUE
NM_001011874.1	1	1	FALSE	FALSE
NM_001290372.1	1	1	FALSE	FALSE
NM_133826.5	1	1	FALSE	FALSE
NM_021374.5	1	2	FALSE	TRUE
NM_001177795.1	1	1	FALSE	FALSE
NM_001195662.1	1	1	FALSE	FALSE
NM_001310442.1	1	1	FALSE	FALSE
NR_045189.1	1	1	FALSE	FALSE
NR_045188.1	1	1	FALSE	FALSE
NM_001244693.1	1	2	FALSE	TRUE
NM_001244692.1	1	1	FALSE	FALSE
NM_173868.2	1	3	FALSE	TRUE
NM_001290397.1	1	1	FALSE	FALSE
NM_008651.3	1	1	FALSE	FALSE
NM_026493.3	1	1	FALSE	FALSE
NM_001102430.1	1	1	FALSE	FALSE
NM_177547.3	1	1	FALSE	FALSE
NM_175236.4	1	1	FALSE	FALSE
NM_133220.2	1	1	FALSE	FALSE
NR_015470.1	1	1	FALSE	FALSE
NR_027664.1	1	1	FALSE	FALSE
NM_001285425.1	1	1	FALSE	FALSE
NR_030645.1	1	1	FALSE	FALSE
NM_029525.1	1	1	FALSE	FALSE
NM_001033636.4	1	1	FALSE	FALSE
NM_001198566.1	1	1	FALSE	FALSE
NM_172294.1	1	1	FALSE	FALSE
NM_008678.3	1	1	FALSE	FALSE
NM_001198565.1	1	1	FALSE	FALSE
NM_001302702.1	1	1	FALSE	FALSE
NM_172841.2	4	1	TRUE	FALSE
NM_001252192.1	1	1	FALSE	FALSE
NM_010164.2	1	1	FALSE	FALSE
NM_001310459.1	1	1	FALSE	FALSE
NM_001098528.2	1	1	FALSE	FALSE
NM_025303.3	4	1	TRUE	FALSE
NM_001310470.1	1	1	FALSE	FALSE
NM_001111272.1	1	1	FALSE	FALSE
NM_026456.4	1	1	FALSE	FALSE
NM_133832.3	3	1	TRUE	FALSE
NM_001033288.3	1	1	FALSE	FALSE
NM_001347044.1	1	1	FALSE	FALSE
NM_001347045.1	1	1	FALSE	FALSE
NR_130314.1	1	1	FALSE	FALSE
NM_020604.2	1	1	FALSE	FALSE
NR_002879.2	1	1	FALSE	FALSE
NM_153154.3	1	1	FALSE	FALSE
NM_153179.3	1	1	FALSE	FALSE
NM_001160139.1	1	1	FALSE	FALSE
NM_001310477.1	1	1	FALSE	FALSE
NM_023872.3	1	1	FALSE	FALSE
NM_183018.2	1	2	FALSE	TRUE
NM_001012623.1	1	1	FALSE	FALSE
NM_001012624.1	1	3	FALSE	TRUE
NM_053270.1	1	1	FALSE	FALSE
NM_001012625.1	1	1	FALSE	FALSE
NM_001290683.1	1	1	FALSE	FALSE
NR_110972.1	1	1	FALSE	FALSE
NM_028534.3	1	2	FALSE	TRUE
NM_001290691.1	1	1	FALSE	FALSE
NM_007733.2	1	1	FALSE	FALSE
NM_007740.3	1	1	FALSE	FALSE
NM_153601.1	1	1	FALSE	FALSE
NR_033445.1	1	1	FALSE	FALSE
NR_136907.1	1	1	FALSE	FALSE
NM_133833.3	1	1	FALSE	FALSE
NM_011206.2	1	1	FALSE	FALSE
NM_134448.3	1	1	FALSE	FALSE
NM_001276764.1	1	1	FALSE	FALSE
NM_145516.2	1	1	FALSE	FALSE
NM_175421.1	1	1	FALSE	FALSE
NM_027957.1	1	1	FALSE	FALSE
NM_198899.2	1	2	FALSE	TRUE
NM_001126046.1	1	1	FALSE	FALSE
NM_001310517.1	1	1	FALSE	FALSE
NM_001013374.2	1	3	FALSE	TRUE
NM_001290801.1	2	1	TRUE	FALSE
NM_018872.2	1	1	FALSE	FALSE
NM_173870.3	1	1	FALSE	FALSE
NM_030266.4	1	1	FALSE	FALSE
NM_009918.2	1	1	FALSE	FALSE
NM_028096.1	1	1	FALSE	FALSE
NR_024017.1	1	1	FALSE	FALSE
NM_001282010.1	1	1	FALSE	FALSE
NM_001290797.1	1	1	FALSE	FALSE
NM_198303.2	1	1	FALSE	FALSE
NM_026913.2	1	1	FALSE	FALSE
NM_001290814.1	1	1	FALSE	FALSE
NM_001145660.1	1	1	FALSE	FALSE
NM_008719.2	1	1	FALSE	FALSE
NM_018775.4	1	5	FALSE	TRUE
NM_001252201.1	1	1	FALSE	FALSE
NM_008696.2	1	1	FALSE	FALSE
NM_008362.2	1	1	FALSE	FALSE
NM_001252202.1	1	1	FALSE	FALSE
NM_010555.4	1	1	FALSE	FALSE
NM_001033289.2	1	1	FALSE	FALSE
NM_001252200.1	1	1	FALSE	FALSE
NM_023514.4	1	1	FALSE	FALSE
NM_010879.3	1	1	FALSE	FALSE
NM_026430.3	1	1	FALSE	FALSE
NM_028450.3	1	1	FALSE	FALSE
NM_011729.2	1	1	FALSE	FALSE
NM_007737.2	1	1	FALSE	FALSE
NM_001310335.1	1	1	FALSE	FALSE
NM_019790.4	1	1	FALSE	FALSE
NR_045151.2	1	1	FALSE	FALSE
NM_001290982.1	1	1	FALSE	FALSE
NM_001161817.2	1	1	FALSE	FALSE
NM_010863.4	1	1	FALSE	FALSE
NM_001081081.2	1	1	FALSE	FALSE
NM_011487.5	1	1	FALSE	FALSE
NM_001308266.1	1	1	FALSE	FALSE
NM_153556.2	1	1	FALSE	FALSE
NM_133728.3	2	1	TRUE	FALSE
NM_178081.4	1	1	FALSE	FALSE
NM_133829.2	1	1	FALSE	FALSE
NM_001290984.1	1	1	FALSE	FALSE
NM_030025.2	1	1	FALSE	FALSE
NM_172655.3	1	1	FALSE	FALSE
NM_001001883.3	1	1	FALSE	FALSE
NM_029267.3	1	1	FALSE	FALSE
NM_001113367.1	4	1	TRUE	FALSE
NM_028713.1	1	1	FALSE	FALSE
NM_001081433.3	1	1	FALSE	FALSE
NR_045837.1	1	1	FALSE	FALSE
NM_139146.2	1	1	FALSE	FALSE
NM_001081181.2	1	1	FALSE	FALSE
NM_023617.2	1	1	FALSE	FALSE
NM_144882.4	1	1	FALSE	FALSE
NM_022988.3	1	1	FALSE	FALSE
NM_009676.2	1	1	FALSE	FALSE
NM_001164566.1	1	1	FALSE	FALSE
NM_025597.3	1	1	FALSE	FALSE
NM_001008419.2	1	1	FALSE	FALSE
NM_001033449.1	4	1	TRUE	FALSE
NM_001037812.2	1	1	FALSE	FALSE
NM_172656.5	1	1	FALSE	FALSE
NM_001198570.1	1	1	FALSE	FALSE
NM_027407.4	1	1	FALSE	FALSE
NM_001198571.1	1	1	FALSE	FALSE
NM_198127.2	1	1	FALSE	FALSE
NM_173444.2	1	1	FALSE	FALSE
NM_001316694.1	1	1	FALSE	FALSE
NM_001316695.1	1	1	FALSE	FALSE
NM_001045513.3	1	1	FALSE	FALSE
NM_010939.2	1	1	FALSE	FALSE
NM_001077406.1	1	1	FALSE	FALSE
NM_001077405.1	1	1	FALSE	FALSE
NM_001077403.1	1	1	FALSE	FALSE
NM_001077404.1	1	1	FALSE	FALSE
NM_001077407.1	2	4	TRUE	TRUE
NM_011780.3	2	2	TRUE	TRUE
NM_145518.2	1	1	FALSE	FALSE
NM_029696.4	1	1	FALSE	FALSE
NM_001267872.1	1	1	FALSE	FALSE
NM_001160040.1	1	1	FALSE	FALSE
NM_028673.1	1	1	FALSE	FALSE
NM_001160039.1	1	1	FALSE	FALSE
NM_001160038.1	1	1	FALSE	FALSE
NM_001285937.1	1	1	FALSE	FALSE
NM_001285936.1	1	1	FALSE	FALSE
NM_033563.2	3	1	TRUE	FALSE
NM_001039493.1	1	1	FALSE	FALSE
NM_011086.2	1	2	FALSE	TRUE
NM_001310624.1	1	1	FALSE	FALSE
NM_175510.3	1	1	FALSE	FALSE
NM_001039934.1	5	1	TRUE	FALSE
NM_001310634.1	1	1	FALSE	FALSE
NM_008632.2	1	2	FALSE	TRUE
NM_007381.4	1	1	FALSE	FALSE
NM_001310644.1	2	3	TRUE	TRUE
NM_001310643.1	1	1	FALSE	FALSE
NM_025683.3	1	1	FALSE	FALSE
NM_001310642.1	1	1	FALSE	FALSE
NM_011770.4	1	1	FALSE	FALSE
NM_001271533.1	1	1	FALSE	FALSE
NM_007525.3	1	1	FALSE	FALSE
NM_177164.3	1	1	FALSE	FALSE
NM_001310658.1	1	1	FALSE	FALSE
NM_026195.3	1	1	FALSE	FALSE
NM_018817.2	1	1	FALSE	FALSE
NM_001045533.1	1	1	FALSE	FALSE
NM_001289895.1	1	1	FALSE	FALSE
NM_001039509.1	1	1	FALSE	FALSE
NM_027884.3	1	1	FALSE	FALSE
NR_045311.1	1	1	FALSE	FALSE
NM_010043.2	1	1	FALSE	FALSE
NM_029342.4	1	1	FALSE	FALSE
NM_029888.3	1	1	FALSE	FALSE
NM_001310668.1	1	1	FALSE	FALSE
NM_007936.3	1	1	FALSE	FALSE
NM_008781.4	1	2	FALSE	TRUE
NM_001004173.2	2	1	TRUE	FALSE
NM_026713.3	1	1	FALSE	FALSE
NM_001159520.1	1	1	FALSE	FALSE
NM_009255.4	1	1	FALSE	FALSE
NM_001285927.1	1	1	FALSE	FALSE
NM_172849.3	1	1	FALSE	FALSE
NM_007734.2	1	1	FALSE	FALSE
NM_001122685.1	2	1	TRUE	FALSE
NM_007735.2	1	1	FALSE	FALSE
NM_029777.3	1	1	FALSE	FALSE
NM_172430.3	1	1	FALSE	FALSE
NM_133975.4	1	1	FALSE	FALSE
NM_152915.1	1	1	FALSE	FALSE
NM_001003948.2	1	1	FALSE	FALSE
NM_030194.1	1	1	FALSE	FALSE
NM_177055.3	1	1	FALSE	FALSE
NM_175397.4	1	2	FALSE	TRUE
NM_030184.2	4	2	TRUE	TRUE
NM_027357.2	1	1	FALSE	FALSE
NM_027456.2	1	1	FALSE	FALSE
NM_001310702.1	1	1	FALSE	FALSE
NM_001110192.2	1	1	FALSE	FALSE
NR_122078.1	1	1	FALSE	FALSE
NM_001198573.1	1	1	FALSE	FALSE
NM_001110193.2	1	1	FALSE	FALSE
NM_146112.4	3	1	TRUE	FALSE
NM_028889.2	1	3	FALSE	TRUE
NM_001111314.1	3	1	TRUE	FALSE
NM_009118.2	1	1	FALSE	FALSE
NM_010566.3	1	1	FALSE	FALSE
NM_001110212.2	1	1	FALSE	FALSE
NM_001033291.2	2	4	TRUE	TRUE
NM_201643.2	1	1	FALSE	FALSE
NM_201410.3	1	1	FALSE	FALSE
NM_145079.3	1	1	FALSE	FALSE
NM_134252.3	1	1	FALSE	FALSE
NM_201642.4	1	1	FALSE	FALSE
NM_013701.3	1	1	FALSE	FALSE
NR_040482.1	1	1	FALSE	FALSE
NM_029122.2	3	1	TRUE	FALSE
NM_178119.3	1	1	FALSE	FALSE
NM_001037136.1	1	1	FALSE	FALSE
NM_001243009.1	2	1	TRUE	FALSE
NM_008998.4	2	1	TRUE	FALSE
NM_008515.4	1	1	FALSE	FALSE
NM_001111311.1	1	1	FALSE	FALSE
NM_001159725.2	1	1	FALSE	FALSE
NM_001111312.1	1	1	FALSE	FALSE
NM_001310732.1	1	2	FALSE	TRUE
NM_001243008.1	1	1	FALSE	FALSE
NM_207225.2	1	1	FALSE	FALSE
NM_027551.2	1	1	FALSE	FALSE
NM_008440.4	1	1	FALSE	FALSE
NM_001294150.1	1	1	FALSE	FALSE
NM_001294149.1	1	1	FALSE	FALSE
NM_001310428.1	2	4	TRUE	TRUE
NM_001110315.2	1	1	FALSE	FALSE
NM_145519.2	1	1	FALSE	FALSE
NM_001310767.1	4	1	TRUE	FALSE
NM_001310761.1	1	1	FALSE	FALSE
NM_178882.4	1	1	FALSE	FALSE
NM_025920.3	1	1	FALSE	FALSE
NM_133808.5	1	1	FALSE	FALSE
NM_172658.3	1	1	FALSE	FALSE
NM_028942.4	1	1	FALSE	FALSE
NR_120500.1	1	1	FALSE	FALSE
NM_026250.3	1	1	FALSE	FALSE
NM_027584.1	1	1	FALSE	FALSE
NR_037993.1	1	1	FALSE	FALSE
NM_133825.3	1	1	FALSE	FALSE
NM_001164233.1	1	2	FALSE	TRUE
NM_013626.3	1	1	FALSE	FALSE
NM_001310773.1	1	1	FALSE	FALSE
NM_172851.2	1	1	FALSE	FALSE
NM_013784.3	1	1	FALSE	FALSE
NM_009741.5	1	1	FALSE	FALSE
NR_040630.1	1	1	FALSE	FALSE
NM_133821.3	1	1	FALSE	FALSE
NM_001081125.1	1	1	FALSE	FALSE
NM_019933.2	1	1	FALSE	FALSE
NM_001115074.1	1	1	FALSE	FALSE
NM_001311077.1	1	2	FALSE	TRUE
NM_001012322.2	1	1	FALSE	FALSE
NM_029955.3	1	1	FALSE	FALSE
NR_038008.1	6	1	TRUE	FALSE
NM_001025156.2	1	1	FALSE	FALSE
NR_110450.1	1	1	FALSE	FALSE
NM_028787.4	1	1	FALSE	FALSE
NM_172484.3	1	1	FALSE	FALSE
NM_176957.3	1	2	FALSE	TRUE
NM_001081756.1	1	2	FALSE	TRUE
NM_028135.2	1	1	FALSE	FALSE
NM_028399.1	1	1	FALSE	FALSE
NM_145128.3	1	1	FALSE	FALSE
NM_001081078.2	1	1	FALSE	FALSE
NM_027678.3	1	1	FALSE	FALSE
NM_181750.2	1	3	FALSE	TRUE
NM_001285945.1	2	1	TRUE	FALSE
NM_001170632.1	1	1	FALSE	FALSE
NM_144960.2	1	1	FALSE	FALSE
NM_007827.3	1	1	FALSE	FALSE
NR_028304.1	1	1	FALSE	FALSE
NM_001317361.1	1	1	FALSE	FALSE
NM_018750.4	1	1	FALSE	FALSE
NM_001081011.2	1	1	FALSE	FALSE
NM_001313731.1	1	1	FALSE	FALSE
NM_001160317.1	1	1	FALSE	FALSE
NM_177129.5	1	1	FALSE	FALSE
NM_001160318.1	1	1	FALSE	FALSE
NM_182716.4	1	1	FALSE	FALSE
NM_010732.4	1	1	FALSE	FALSE
NM_178874.3	1	1	FALSE	FALSE
NM_001033250.4	1	1	FALSE	FALSE
NM_001311102.1	1	1	FALSE	FALSE
NM_001311103.1	1	1	FALSE	FALSE
NM_001311107.1	1	1	FALSE	FALSE
NR_132336.1	1	1	FALSE	FALSE
NM_001311104.1	4	1	TRUE	FALSE
NM_001160268.1	1	1	FALSE	FALSE
NM_182930.2	1	1	FALSE	FALSE
NM_177081.3	1	1	FALSE	FALSE
NM_152895.2	1	1	FALSE	FALSE
NM_009307.3	1	1	FALSE	FALSE
NM_020588.2	1	1	FALSE	FALSE
NM_001081307.1	1	1	FALSE	FALSE
NM_001033409.3	1	1	FALSE	FALSE
NM_001042485.1	1	1	FALSE	FALSE
NM_153128.3	1	1	FALSE	FALSE
NM_001311136.1	1	1	FALSE	FALSE
NM_001329610.1	2	1	TRUE	FALSE
NM_173437.2	1	1	FALSE	FALSE
NM_153774.1	1	1	FALSE	FALSE
NR_037986.1	1	1	FALSE	FALSE
NM_001268286.1	1	1	FALSE	FALSE
NM_177397.3	1	1	FALSE	FALSE
NM_011210.4	1	1	FALSE	FALSE
NM_001111316.2	1	1	FALSE	FALSE
NM_133239.2	1	1	FALSE	FALSE
NM_021605.4	1	1	FALSE	FALSE
NM_001166501.1	1	1	FALSE	FALSE
NM_181347.3	4	1	TRUE	FALSE
NR_040304.1	1	1	FALSE	FALSE
NM_001311148.1	1	1	FALSE	FALSE
NM_001160304.1	1	1	FALSE	FALSE
NM_009888.3	1	1	FALSE	FALSE
NM_001160303.1	1	1	FALSE	FALSE
NM_001029977.3	1	1	FALSE	FALSE
NM_001025575.2	1	1	FALSE	FALSE
NR_040604.1	1	1	FALSE	FALSE
NM_019562.2	1	1	FALSE	FALSE
NM_001159866.1	1	1	FALSE	FALSE
NR_015466.3	1	5	FALSE	TRUE
NR_040603.1	1	1	FALSE	FALSE
NM_001024720.3	1	1	FALSE	FALSE
NM_001311165.1	1	1	FALSE	FALSE
NM_025819.4	1	3	FALSE	TRUE
NM_022018.3	1	1	FALSE	FALSE
NM_001039644.2	1	1	FALSE	FALSE
NM_001311166.1	1	1	FALSE	FALSE
NM_016846.4	1	1	FALSE	FALSE
NM_177756.4	1	1	FALSE	FALSE
NM_010877.5	1	3	FALSE	TRUE
NM_001346117.1	1	1	FALSE	FALSE
NM_001346119.1	1	1	FALSE	FALSE
NM_001346118.1	2	1	TRUE	FALSE
NM_010683.2	1	1	FALSE	FALSE
NM_007842.2	3	1	TRUE	FALSE
NM_009782.3	1	1	FALSE	FALSE
NM_177838.3	1	6	FALSE	TRUE
NM_001145781.1	1	1	FALSE	FALSE
NM_010712.2	1	1	FALSE	FALSE
NM_028250.3	1	1	FALSE	FALSE
NM_011273.2	1	1	FALSE	FALSE
NM_001159968.1	1	1	FALSE	FALSE
NM_009595.3	1	1	FALSE	FALSE
NM_001136104.1	1	1	FALSE	FALSE
NM_001159965.1	1	1	FALSE	FALSE
NM_023884.4	1	1	FALSE	FALSE
NM_001159966.1	1	1	FALSE	FALSE
NM_001159967.1	1	1	FALSE	FALSE
NM_001346967.1	1	1	FALSE	FALSE
NR_027640.1	1	1	FALSE	FALSE
NM_001159986.1	1	1	FALSE	FALSE
NM_033354.3	1	1	FALSE	FALSE
NR_027641.1	1	1	FALSE	FALSE
NR_027984.1	1	1	FALSE	FALSE
NM_011931.3	1	1	FALSE	FALSE
NM_001205204.1	1	1	FALSE	FALSE
NM_007495.4	1	1	FALSE	FALSE
NM_001085376.2	5	2	TRUE	TRUE
NM_022312.3	1	1	FALSE	FALSE
NM_001038621.2	1	1	FALSE	FALSE
NM_001024952.2	1	1	FALSE	FALSE
NM_001038619.1	1	1	FALSE	FALSE
NM_172645.2	1	2	FALSE	TRUE
NM_172646.2	1	1	FALSE	FALSE
NR_040562.1	1	1	FALSE	FALSE
NM_030071.1	1	1	FALSE	FALSE
NM_001178038.1	1	1	FALSE	FALSE
NM_201364.1	1	1	FALSE	FALSE
NM_010629.3	1	1	FALSE	FALSE
NM_138314.4	1	4	FALSE	TRUE
NM_001143956.1	1	1	FALSE	FALSE
NM_001293313.1	1	1	FALSE	FALSE
NM_001305643.1	2	1	TRUE	FALSE
NM_032005.4	1	1	FALSE	FALSE
NM_173029.3	1	1	FALSE	FALSE
NM_028759.1	2	1	TRUE	FALSE
NM_031162.4	1	1	FALSE	FALSE
NM_001113392.2	1	1	FALSE	FALSE
NM_198932.3	1	1	FALSE	FALSE
NR_103716.1	1	1	FALSE	FALSE
NM_011137.3	1	1	FALSE	FALSE
NM_001113393.2	1	1	FALSE	FALSE
NM_001113391.2	1	5	FALSE	TRUE
NM_025569.1	1	1	FALSE	FALSE
NM_030724.3	1	1	FALSE	FALSE
NR_037988.1	1	1	FALSE	FALSE
NM_001291509.1	1	1	FALSE	FALSE
NM_001291508.1	1	1	FALSE	FALSE
NM_183355.3	1	1	FALSE	FALSE
NM_008783.3	1	1	FALSE	FALSE
NM_027528.2	1	1	FALSE	FALSE
NM_177068.4	1	1	FALSE	FALSE
NM_001109985.1	1	1	FALSE	FALSE
NM_001081304.1	1	1	FALSE	FALSE
NM_022563.2	2	1	TRUE	FALSE
NM_025557.1	2	1	TRUE	FALSE
NM_172647.2	1	1	FALSE	FALSE
NM_018729.2	1	1	FALSE	FALSE
NM_007649.4	1	1	FALSE	FALSE
NM_009938.4	1	1	FALSE	FALSE
NM_033608.3	1	1	FALSE	FALSE
NM_001145800.1	1	1	FALSE	FALSE
NM_013734.1	1	1	FALSE	FALSE
NM_001039484.1	1	1	FALSE	FALSE
NM_001302651.1	1	1	FALSE	FALSE
NM_001205011.2	1	1	FALSE	FALSE
NM_001302649.1	1	1	FALSE	FALSE
NM_001302650.1	1	1	FALSE	FALSE
NM_019445.2	1	1	FALSE	FALSE
NM_011825.1	1	1	FALSE	FALSE
NM_011465.4	1	1	FALSE	FALSE
NM_029453.2	1	1	FALSE	FALSE
NM_012012.4	1	1	FALSE	FALSE
NM_133809.1	1	1	FALSE	FALSE
NM_029756.3	1	1	FALSE	FALSE
NM_027077.2	1	1	FALSE	FALSE
NM_001034899.3	1	1	FALSE	FALSE
NM_001161665.1	1	1	FALSE	FALSE
NM_146105.3	1	1	FALSE	FALSE
NM_001033285.1	1	1	FALSE	FALSE
NM_001346805.1	1	3	FALSE	TRUE
NM_001346804.1	1	1	FALSE	FALSE
NM_133225.3	1	2	FALSE	TRUE
NM_010145.3	1	1	FALSE	FALSE
NM_001312918.1	1	1	FALSE	FALSE
NM_026171.2	3	1	TRUE	FALSE
NM_008680.3	1	1	FALSE	FALSE
NM_175127.2	1	1	FALSE	FALSE
NM_001083121.2	1	1	FALSE	FALSE
NM_001083120.2	1	1	FALSE	FALSE
NM_010135.3	1	1	FALSE	FALSE
NM_001145806.1	1	1	FALSE	FALSE
NM_026866.3	1	1	FALSE	FALSE
NM_001278220.1	1	1	FALSE	FALSE
NM_001278219.1	2	1	TRUE	FALSE
NM_001278218.1	1	1	FALSE	FALSE
NM_130890.2	1	1	FALSE	FALSE
NM_144796.4	1	1	FALSE	FALSE
NM_011794.3	1	1	FALSE	FALSE
NM_001033286.2	1	1	FALSE	FALSE
NM_001163754.1	1	1	FALSE	FALSE
NM_145515.2	1	1	FALSE	FALSE
NM_001347210.1	1	1	FALSE	FALSE
NM_001347212.1	1	1	FALSE	FALSE
NR_131124.1	1	1	FALSE	FALSE
NR_131158.1	1	1	FALSE	FALSE
NM_029067.1	1	3	FALSE	TRUE
NM_028848.3	1	1	FALSE	FALSE
NM_026367.4	1	1	FALSE	FALSE
NM_011935.3	1	1	FALSE	FALSE
NM_001159850.1	1	1	FALSE	FALSE
NM_001281847.1	1	1	FALSE	FALSE
NM_010607.3	5	1	TRUE	FALSE
NM_001281848.1	1	1	FALSE	FALSE
NM_001081363.2	1	1	FALSE	FALSE
NM_172650.2	1	1	FALSE	FALSE
NM_144880.4	1	1	FALSE	FALSE
NM_030060.2	1	1	FALSE	FALSE
NM_001134829.1	1	1	FALSE	FALSE
NM_144879.2	1	1	FALSE	FALSE
NR_027352.1	5	1	TRUE	FALSE
NM_172266.3	1	1	FALSE	FALSE
NM_144881.4	1	1	FALSE	FALSE
NM_010600.3	4	1	TRUE	FALSE
NM_001038607.2	1	1	FALSE	FALSE
NM_011633.2	1	1	FALSE	FALSE
NM_008484.2	1	1	FALSE	FALSE
NM_001277928.1	1	1	FALSE	FALSE
NM_153137.4	1	3	FALSE	TRUE
NM_008882.2	1	1	FALSE	FALSE
NM_007758.2	1	1	FALSE	FALSE
NM_011283.2	1	1	FALSE	FALSE
NM_001289467.1	1	1	FALSE	FALSE
NM_001289466.1	1	1	FALSE	FALSE
NM_001289465.1	1	1	FALSE	FALSE
NM_001289464.1	1	1	FALSE	FALSE
NM_011441.5	1	3	FALSE	TRUE
NM_001177658.1	1	1	FALSE	FALSE
NM_025300.4	1	1	FALSE	FALSE
NM_008866.2	1	1	FALSE	FALSE
